word,hamcount,spamcount,invham,invspam
__hamdocprior__,0.34678030303030305,,,
__spamdocprior__,0.653219696969697,,,
__sumham__,5269478,,,
__sumspam__,,6264244,,
__V__,135489,,,
_,2424,4341,1,1
__,800,16,1,1
___,162,40,1,1
____,130,8,1,1
_____,62,38,1,1
______,117,0,1,0
_______,31,0,1,0
________,15,2,1,1
_________,2,35,1,1
__________,18,11,1,1
___________,24,0,1,0
____________,7,0,1,0
_____________,5,14,1,1
______________,13,18,1,1
_______________,10,18,1,1
________________,94,91,1,1
_________________,25,2,1,1
__________________,5,19,1,1
___________________,6,12,1,1
____________________,2,8,1,1
_____________________,5,10,1,1
______________________,16,0,1,0
_______________________,4,8,1,1
________________________,3,2,1,1
_________________________,3,4,1,1
__________________________,6,0,1,0
___________________________,38,8,1,1
____________________________,6,0,1,0
_____________________________,15,2,1,1
______________________________,30,0,1,0
_______________________________,8,8,1,1
________________________________,4,44,1,1
_________________________________,19,2,1,1
__________________________________,5,6,1,1
___________________________________,12,0,1,0
____________________________________,12,8,1,1
_____________________________________,4,2,1,1
______________________________________,22,0,1,0
_______________________________________,23,10,1,1
________________________________________,31,0,1,0
_________________________________________,7,12,1,1
__________________________________________,23,0,1,0
___________________________________________,37,0,1,0
____________________________________________,2,0,1,0
_____________________________________________,3,10,1,1
______________________________________________,8,7,1,1
_______________________________________________,2,4,1,1
________________________________________________,2,0,1,0
_________________________________________________,55,4,1,1
__________________________________________________,90,5,1,1
___________________________________________________,29,0,1,0
____________________________________________________,7,8,1,1
_____________________________________________________,9,7,1,1
______________________________________________________,157,6,1,1
_______________________________________________________,13,4,1,1
________________________________________________________,4,0,1,0
_________________________________________________________,76,0,1,0
__________________________________________________________,9,0,1,0
___________________________________________________________,19,0,1,0
____________________________________________________________,13,0,1,0
_____________________________________________________________,6,9,1,1
______________________________________________________________,10,0,1,0
_______________________________________________________________,29,0,1,0
________________________________________________________________,9,0,1,0
_________________________________________________________________,228,17,1,1
__________________________________________________________________,340,0,1,0
___________________________________________________________________,32,1,1,1
____________________________________________________________________,10,1,1,1
_____________________________________________________________________,28,0,1,0
______________________________________________________________________,253,1,1,1
_______________________________________________________________________,13,0,1,0
________________________________________________________________________,24,0,1,0
_________________________________________________________________________,19,0,1,0
__________________________________________________________________________,9,4,1,1
___________________________________________________________________________,69,8,1,1
____________________________________________________________________________,3,2,1,1
_____________________________________________________________________________,19,0,1,0
______________________________________________________________________________,20,0,1,0
_______________________________________________________________________________,4,8,1,1
________________________________________________________________________________,0,12,0,1
_______________________________________steve,1,0,1,0
____________________________________country,1,0,1,0
__________________________________e,1,0,1,0
_____________________reply,1,0,1,0
_________iout,3,0,1,0
________handy,1,0,1,0
_______module,2,0,1,0
____member,5,0,1,0
____non,5,0,1,0
____student,2,0,1,0
___check,1,0,1,0
___deb,3,0,1,0
___end___,1,0,1,0
___home,1,0,1,0
___huge___,1,0,1,0
___i,5,0,1,0
___mastercard,1,0,1,0
___student,3,0,1,0
___uuu__,1,0,1,0
___visa,1,0,1,0
___work,1,0,1,0
__bank,1,0,1,0
__but,10,0,1,0
__c_r_i_b_e,0,4,0,1
__cheque,1,0,1,0
__convert_long_double_i,4,0,1,0
__d,2,0,1,0
__feminist,2,0,1,0
__gender,1,0,1,0
__glen,1,0,1,0
__gnuc__,1,0,1,0
__initialize_module_,5,0,1,0
__mastercard,1,0,1,0
__money,1,0,1,0
__mothering,1,0,1,0
__no__,1,0,1,0
__nr_clone,2,0,1,0
__smp__,1,0,1,0
__stdcall,2,0,1,0
__uuu____,1,0,1,0
__visa,1,0,1,0
__vw,1,0,1,0
_a,11,2,1,1
_aa,1,0,1,0
_abelard_,1,0,1,0
_abuse_,1,0,1,0
_accepts_,4,0,1,0
_according,1,0,1,0
_ace,1,0,1,0
_acton,1,0,1,0
_adbbase,1,0,1,0
_adequately_,1,0,1,0
_aeneas_,1,0,1,0
_aeolian_,1,0,1,0
_afghanistan_,1,0,1,0
_after_,3,0,1,0
_agjilqw,1,0,1,0
_agnes,2,0,1,0
_ain,4,0,1,0
_akihito_,1,0,1,0
_albany_,1,0,1,0
_alejandro,2,0,1,0
_alinetrap,2,0,1,0
_all_,6,0,1,0
_all_in,2,0,1,0
_all_out,3,0,1,0
_almost_,2,0,1,0
_also_,2,0,1,0
_alternative,4,0,1,0
_amazons,1,0,1,0
_and_,7,0,1,0
_angel,1,0,1,0
_anne,1,0,1,0
_another_,1,0,1,0
